bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
0,MasterYi,Ashe,Trundle,Lux,Kayle,Caitlyn,Kayn,Ekko,Nautilus,Lulu
1,Gnar,JarvanIV,Jinx,Fizz,Lux,Ornn,Alistar,Heimerdinger,Ahri,Ezreal
1,Jax,Leona,Katarina,Tristana,Cassiopeia,Vi,Sona,Gragas,Jhin,Velkoz
1,Draven,Kled,Gragas,Kassadin,Thresh,Orianna,Alistar,Caitlyn,XinZhao,Jax
0,Heimerdinger,Lucian,Fizz,Yasuo,Rakan,Kayn,Orianna,Vi,Soraka,Tristana
0,Zed,Rammus,Maokai,Ashe,Leona,Anivia,Nautilus,Nocturne,Kled,Tristana
0,Nautilus,Warwick,Caitlyn,Pantheon,Ekko,Ashe,Gragas,Zyra,Kled,Katarina
1,Jax,Kennen,Ezreal,Chogath,Thresh,Heimerdinger,Shen,Diana,Lucian,Orianna
1,MissFortune,Elise,Galio,Thresh,Irelia,Renekton,Nami,Chogath,Ekko,KogMaw
1,Illaoi,Fizz,Thresh,Rammus,Xayah,Lucian,Jax,Riven,Braum,Cassiopeia
0,Orianna,Gragas,Volibear,Shen,Jhin,MasterYi,Annie,Caitlyn,Nasus,Rakan
1,Vayne,Nasus,Leblanc,Kayn,Lulu,Urgot,Morgana,Jax,Twitch,Syndra
0,Nasus,Fiddlesticks,Leona,Viktor,Ashe,Nunu,Ezreal,Maokai,Xayah,Lulu
0,Vladimir,Ezreal,Velkoz,Nami,LeeSin,Riven,JarvanIV,Gangplank,Jhin,Taliyah
1,Gragas,Taric,Gnar,Taliyah,Vayne,Jinx,Rumble,Jax,Thresh,RekSai
1,Zed,Maokai,Khazix,Zilean,Twitch,Caitlyn,Sona,Urgot,Lux,Ivern
0,Kayn,Lucian,Braum,Nasus,Ryze,Warwick,Nami,Morgana,Draven,Gnar
1,Rakan,Shen,Xayah,DrMundo,Taliyah,Lulu,Tristana,Quinn,Zyra,Kayn
1,Vladimir,Tristana,Braum,Ahri,Vi,Jinx,Malphite,Yasuo,MonkeyKing,Garen
1,Ekko,Ezreal,Zac,Alistar,Riven,Chogath,Vayne,Brand,Cassiopeia,Viktor
0,Ahri,Warwick,Zac,Thresh,Jhin,Tristana,Veigar,Gnar,Sejuani,Malphite
1,Fizz,Nami,Jax,MissFortune,DrMundo,Lux,Sona,Vi,Mordekaiser,Twitch
1,Cassiopeia,Kayle,Hecarim,Vayne,Janna,Lulu,MissFortune,XinZhao,Talon,Ivern
1,Tristana,Soraka,Lux,Maokai,Janna,Kayle,JarvanIV,Viktor,Jinx,Nami
1,Brand,Darius,Khazix,Tristana,Lux,XinZhao,Volibear,Twitch,Viktor,Leona
0,JarvanIV,Nidalee,Lux,Alistar,Jhin,Syndra,Maokai,MasterYi,Tristana,Tryndamere
1,Ekko,Twitch,Fiora,Brand,Gragas,KogMaw,Syndra,Karma,Khazix,Pantheon
0,Vi,Lulu,Twitch,Rammus,Swain,JarvanIV,MissFortune,Thresh,Syndra,Nasus
1,XinZhao,JarvanIV,Vayne,Leona,Cassiopeia,Leblanc,Malphite,Gnar,Khazix,Jhin
1,Sivir,Rakan,Ahri,Darius,Sion,Taric,Kalista,Leblanc,Garen,JarvanIV
0,Veigar,Fizz,Shen,Maokai,Ashe,Katarina,Warwick,Sona,Yasuo,Caitlyn
1,Volibear,TwistedFate,Blitzcrank,Morgana,Jinx,Vayne,Leona,Sejuani,Vladimir,Gragas
0,Ezreal,Karma,Katarina,Yasuo,Udyr,Heimerdinger,Renekton,Blitzcrank,XinZhao,Tristana
1,Kayn,Vi,Ziggs,Zyra,Ashe,Rakan,Ahri,Xayah,Maokai,Kayle
1,Vi,Kalista,Thresh,Kled,Kassadin,Xerath,Talon,Blitzcrank,Udyr,Jinx
0,Diana,Braum,Gnar,Kassadin,Jinx,Draven,Gragas,Renekton,Katarina,Thresh
0,Lucian,JarvanIV,Mordekaiser,Xerath,Ahri,Kayn,Vayne,Rakan,Cassiopeia,Camille
1,Braum,Rumble,Kayn,Varus,Morgana,LeeSin,Yasuo,Tristana,Nasus,Lulu
1,Trundle,Varus,Lulu,Yasuo,Kled,Akali,Jinx,Leona,Nasus,Vi
1,Fiddlesticks,Kled,Ahri,Udyr,Varus,Orianna,Lucian,JarvanIV,Leona,Jax
0,Morgana,Zed,Kennen,Vi,Twitch,Rengar,Orianna,Darius,Leona,Draven
0,Draven,Gnar,Blitzcrank,XinZhao,Annie,Tristana,Elise,Akali,Leona,Lux
1,KogMaw,LeeSin,Janna,Fizz,Malphite,Zilean,Gnar,MasterYi,Nami,Draven
1,Chogath,Syndra,Nasus,Janna,Ashe,Orianna,Ezreal,Riven,Ornn,JarvanIV
1,Warwick,Xayah,JarvanIV,Zyra,Lux,MissFortune,Twitch,Nunu,Urgot,Veigar
0,Lux,Sona,Caitlyn,Kayn,Nasus,Nami,Ashe,JarvanIV,Khazix,Kassadin
1,Lulu,TwistedFate,JarvanIV,Twitch,Nasus,Malphite,MasterYi,Xayah,Xerath,Soraka
0,Warwick,Taliyah,Aatrox,Veigar,Jhin,Singed,MasterYi,Swain,Poppy,Ezreal
1,TwistedFate,Gangplank,Janna,Akali,Vayne,LeeSin,Twitch,Leona,Galio,Irelia
0,Thresh,Veigar,MasterYi,Ashe,Riven,Khazix,Ahri,Teemo,MissFortune,Karma
0,LeeSin,Heimerdinger,Xayah,Rakan,Gangplank,Gragas,Soraka,Gnar,Ezreal,Malzahar
1,Thresh,Jinx,Malzahar,XinZhao,Skarner,Lucian,Nami,Chogath,Viktor,Jayce
1,Evelynn,Zed,Malzahar,Nami,Tristana,Chogath,MissFortune,Taric,Kayn,Taliyah
1,Mordekaiser,Taliyah,Janna,Caitlyn,LeeSin,Rakan,Khazix,Kalista,Ekko,Kennen
1,Fizz,Vayne,Nautilus,Illaoi,Talon,LeeSin,Ekko,Jhin,Morgana,Kennen
1,Lulu,Yasuo,MissFortune,Sejuani,Viktor,Kayn,Sona,Xayah,Azir,Ornn
0,Yasuo,Caitlyn,Syndra,RekSai,Sona,LeeSin,MonkeyKing,Ziggs,MissFortune,Nami
1,Kled,Ashe,Syndra,Thresh,Vi,Vladimir,Maokai,JarvanIV,Kalista,Leona
0,Xerath,XinZhao,Tristana,Darius,Leona,Jhin,Fizz,Quinn,Blitzcrank,Yasuo
1,Tristana,Sona,Kayle,Viktor,Sejuani,Maokai,Cassiopeia,Ezreal,Bard,JarvanIV
