bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
1,Morgana,Riven,Jhin,Gragas,Akali,Rengar,Sona,Ornn,Xayah,Kassadin
0,Ashe,Lulu,Corki,Gragas,Fiora,Caitlyn,Braum,Lucian,Sejuani,AurelionSol
0,Sivir,Orianna,Elise,Ornn,Jax,Taric,Ekko,Khazix,Fiora,Darius
0,Teemo,Ashe,Jax,RekSai,Blitzcrank,Kayn,Alistar,Vayne,Garen,Malphite
0,Soraka,Jhin,Lux,Rammus,Shyvana,Kayn,Varus,Lulu,Vayne,Talon
0,Mordekaiser,Blitzcrank,Gangplank,JarvanIV,Yorick,Twitch,Ziggs,Chogath,MasterYi,Taric
1,Nidalee,Singed,Fizz,Morgana,Jhin,Kayn,Yasuo,Fiora,Tristana,Blitzcrank
1,Gangplank,MasterYi,Orianna,Leona,Lucian,Janna,Quinn,Ashe,Gragas,Vladimir
1,Skarner,Ezreal,Annie,Rumble,Sion,Zed,Twitch,Teemo,Ornn,Brand
0,Kassadin,Thresh,Tristana,Talon,Camille,Nasus,Jinx,Kayn,Janna,Syndra
1,Lucian,Sivir,Yasuo,Maokai,Janna,Soraka,Jhin,Mordekaiser,Malzahar,Diana
1,Draven,MasterYi,Blitzcrank,AurelionSol,JarvanIV,Zilean,Renekton,Jhin,Kayn,Ziggs
1,Kalista,Annie,Thresh,Camille,Udyr,Kayle,Rumble,Tristana,Brand,Ziggs
1,Nami,Jax,Jinx,Riven,Katarina,Yasuo,LeeSin,Swain,MissFortune,Thresh
1,Fiora,Katarina,Soraka,Jinx,LeeSin,Jhin,Ornn,Veigar,Leblanc,Kayn
0,Yasuo,Swain,Jhin,Vi,Rakan,Janna,Draven,Renekton,Maokai,Viktor
1,MissFortune,MonkeyKing,Zed,Morgana,Jax,Tryndamere,Alistar,Ashe,Akali,Kayn
0,Soraka,Maokai,Kled,Jhin,Anivia,Evelynn,Orianna,Gnar,Sivir,Janna
0,Elise,Sion,Twitch,Rumble,Jayce,Vayne,Warwick,Sona,Aatrox,Annie
0,Ashe,Orianna,Irelia,LeeSin,Thresh,Lulu,TwistedFate,Jax,Shyvana,Twitch
1,Veigar,Varus,Morgana,Warwick,Maokai,Lucian,Alistar,Ryze,Tristana,Kayn
0,Blitzcrank,Ahri,Kayn,Tristana,Ezreal,Ornn,Orianna,Rengar,Twitch,Janna
1,LeeSin,MissFortune,Kassadin,Braum,Urgot,Ahri,Poppy,Riven,Ornn,Caitlyn
0,MonkeyKing,Jinx,Singed,Rakan,Lucian,Katarina,KogMaw,Soraka,Maokai,Vladimir
1,Garen,Ashe,Evelynn,Akali,Thresh,Brand,Varus,Nami,Riven,LeeSin
1,Veigar,Vayne,MasterYi,Soraka,TwistedFate,Ornn,JarvanIV,Lulu,Syndra,Kalista
0,Chogath,Draven,Kayn,Annie,Teemo,Ezreal,Ornn,Thresh,Vayne,Katarina
0,Annie,Zilean,Khazix,Diana,Caitlyn,Ashe,Poppy,Darius,Soraka,Velkoz
1,Kassadin,Sona,Vayne,Sejuani,Garen,Soraka,Anivia,Udyr,Jayce,Caitlyn
1,Ornn,Brand,Jax,Thresh,Twitch,Jinx,Taliyah,Teemo,Yasuo,Warwick
1,Ahri,Poppy,Sona,Elise,Jinx,Caitlyn,Blitzcrank,Teemo,Evelynn,Veigar
1,Riven,Fiddlesticks,Vayne,Lux,Diana,MissFortune,JarvanIV,Sona,Fizz,Rammus
0,Annie,Fiora,Janna,Ashe,Warwick,Shyvana,Braum,Ezreal,Yasuo,Riven
0,Sivir,Kayn,Amumu,Ahri,Chogath,Teemo,Ziggs,XinZhao,Twitch,Soraka
0,Olaf,JarvanIV,Twitch,Ornn,Azir,Tryndamere,Thresh,Tristana,Syndra,Udyr
0,Chogath,Janna,Akali,Jinx,LeeSin,Yasuo,Leona,Warwick,Ekko,Kalista
0,Elise,Irelia,Jhin,Vladimir,Graves,Anivia,Maokai,Lux,Twitch,Draven
0,Bard,Tristana,Fiora,Taliyah,Rengar,Jayce,Nautilus,Zed,Caitlyn,Leona
0,Riven,Trundle,Syndra,Ezreal,Thresh,Varus,Rakan,Brand,Ornn,Kled
0,Lucian,Zac,Chogath,Jhin,Karma,Xayah,Kayle,Velkoz,Nidalee,Lulu
1,JarvanIV,Sona,Mordekaiser,Jinx,Kennen,Orianna,Tristana,Yasuo,Poppy,Ornn
1,Braum,MissFortune,XinZhao,Lux,Darius,Yasuo,Morgana,Nasus,Garen,Jinx
0,Vayne,Leona,Warwick,Vladimir,Irelia,LeeSin,Tristana,Ekko,Nasus,Soraka
0,Rumble,LeeSin,Bard,Kennen,Katarina,Vayne,Sejuani,Zyra,Ziggs,Tryndamere
0,Veigar,Ekko,Tristana,Thresh,Twitch,MonkeyKing,TwistedFate,Lucian,Morgana,Katarina
1,Warwick,Vladimir,Veigar,Draven,Janna,Teemo,Vayne,Ekko,Vi,Ezreal
0,Chogath,Teemo,Katarina,Twitch,Xayah,Renekton,Warwick,Yasuo,Tristana,Blitzcrank
0,Vladimir,Jinx,Gragas,Rumble,MasterYi,Cassiopeia,Nasus,Shyvana,Brand,Twitch
1,Talon,Sejuani,Janna,Annie,Draven,Sivir,Yasuo,Lux,Blitzcrank,Fiddlesticks
0,Elise,Jinx,Thresh,Garen,Zed,Poppy,Rengar,Caitlyn,Morgana,Orianna
1,Fiora,Elise,Rakan,Darius,Yasuo,Kayn,Evelynn,Shen,Soraka,Tristana
0,Ashe,Janna,Gragas,Akali,Brand,MasterYi,TwistedFate,Garen,Lucian,Morgana
1,Corki,MasterYi,Twitch,Gangplank,Lux,Irelia,Tristana,Fiddlesticks,Kayn,Malzahar
0,Karma,Lucian,Syndra,Pantheon,LeeSin,Shaco,Thresh,Nasus,Jinx,Xerath
1,Ekko,Illaoi,Xayah,Soraka,Gragas,Gnar,Rammus,Rakan,Jhin,Orianna
1,Thresh,Yasuo,Orianna,Warwick,Kalista,Jinx,Ryze,Khazix,JarvanIV,Blitzcrank
1,Renekton,Tristana,Lulu,Fizz,Nidalee,Malzahar,Teemo,Gragas,Kalista,Janna
0,Thresh,Leblanc,Kindred,Varus,Gnar,Fiddlesticks,Garen,Soraka,Lux,Tristana
0,MasterYi,Rakan,Camille,Vladimir,Ezreal,Taliyah,Urgot,Thresh,Vayne,Kayn
0,Zac,Karma,Galio,Pantheon,Ashe,Riven,Warwick,Bard,MissFortune,Swain
1,Thresh,Tryndamere,Yasuo,Tristana,Gragas,RekSai,Trundle,Veigar,Leona,Xayah
1,Irelia,Ashe,Leblanc,Sion,Ornn,Zed,Lucian,Janna,Rumble,Nidalee
0,Sona,Vayne,XinZhao,Anivia,Jax,Jhin,Rakan,Diana,Maokai,Darius
1,Bard,Caitlyn,Khazix,Teemo,Galio,Ekko,Orianna,Kayn,Xayah,Taric
1,Thresh,Sejuani,Tristana,DrMundo,Veigar,Xerath,Graves,Soraka,Zac,Twitch
0,Taric,Kalista,Yasuo,Khazix,Malphite,Brand,Akali,Warwick,Twitch,JarvanIV
0,Leona,Kalista,LeeSin,Garen,Ziggs,RekSai,Yasuo,Lux,Janna,MissFortune
0,Warwick,Corki,Kennen,Janna,Vayne,Sona,Tristana,Malzahar,Ekko,Tryndamere
0,Tryndamere,Elise,Yasuo,Vayne,Blitzcrank,Akali,Jax,Velkoz,Jinx,Malphite
1,Bard,Tristana,Galio,Yasuo,Ornn,Singed,Kayn,Fizz,Taric,Jinx
1,XinZhao,Fizz,Twitch,Thresh,Rumble,Karma,Heimerdinger,Jhin,Yasuo,Nunu
0,Fiora,Pantheon,Kassadin,Nami,Twitch,Varus,Soraka,Renekton,Warwick,Katarina
1,Ahri,Kayn,Xayah,Lulu,XinZhao,Janna,Nocturne,Varus,Darius,Viktor
1,Janna,Ashe,Taliyah,Nidalee,Camille,Jhin,Lux,Renekton,Khazix,Orianna
0,Lux,Illaoi,Amumu,Thresh,Sivir,Karthus,Ivern,JarvanIV,Jhin,Taric
0,Draven,Rakan,Fizz,Elise,DrMundo,Ashe,Velkoz,Veigar,MasterYi,Illaoi
0,Nasus,Nidalee,TwistedFate,Leona,Graves,Vayne,Fiora,Blitzcrank,Corki,Sejuani
0,Zed,Rengar,Blitzcrank,Evelynn,Jinx,Ahri,Ashe,Nasus,MasterYi,Soraka
0,Velkoz,Ezreal,Rammus,Sona,Malphite,Ashe,Vi,Janna,Fizz,Gangplank
1,Vayne,Rakan,Amumu,Kennen,Zed,Renekton,Syndra,Twitch,RekSai,Janna
1,Twitch,Blitzcrank,Diana,Syndra,Heimerdinger,Zed,Ahri,Jax,Sona,MissFortune
1,KogMaw,Nami,Maokai,Poppy,Ziggs,JarvanIV,Vladimir,Lissandra,Caitlyn,Amumu
1,Rakan,AurelionSol,Fiora,Twitch,Rammus,Khazix,Soraka,Malzahar,Xayah,Renekton
1,Zed,Draven,Tryndamere,Gragas,Zilean,Zyra,Tristana,Lux,Garen,Kayn
0,Ezreal,Rumble,Zac,Yasuo,Alistar,Braum,Ornn,Karthus,Jhin,XinZhao
1,Hecarim,Yorick,Nami,Jhin,Syndra,Xayah,LeeSin,Fiora,Orianna,Katarina
1,Cassiopeia,Twitch,DrMundo,Thresh,Shaco,Brand,Tristana,JarvanIV,Elise,Alistar
0,Brand,Vi,Renekton,Jinx,Corki,Yasuo,Varus,Annie,Kayn,Soraka
0,Lucian,Morgana,Kennen,LeeSin,Azir,DrMundo,Taliyah,Galio,Vayne,Poppy
0,Vayne,Khazix,Velkoz,Alistar,Irelia,Tristana,Morgana,Illaoi,Lux,Warwick
0,Shyvana,Volibear,Urgot,Tryndamere,Graves,Akali,Blitzcrank,Draven,MasterYi,Nasus
0,Thresh,Jhin,Poppy,Tryndamere,Diana,Shyvana,Morgana,Illaoi,KogMaw,Syndra
0,Orianna,Lulu,MasterYi,Jhin,MonkeyKing,Varus,Singed,Rammus,Viktor,Janna
0,Poppy,Talon,Nidalee,Garen,Xayah,Tryndamere,Warwick,Ahri,Caitlyn,Leona
0,Sion,Caitlyn,Galio,Talon,Warwick,Lux,Tryndamere,Khazix,Leona,Ashe
1,Anivia,Gnar,LeeSin,Nami,Corki,Vladimir,JarvanIV,Blitzcrank,Tristana,MonkeyKing
0,Quinn,Yasuo,Tristana,Ornn,Warwick,Ashe,Rengar,Poppy,Lucian,Riven
0,Nunu,Lucian,Teemo,Jax,Blitzcrank,Chogath,Alistar,Ziggs,Vayne,Kayn
1,Zed,Twitch,Brand,Darius,Sona,Nasus,Maokai,Jax,Lucian,Pantheon
1,Jhin,Lulu,Lux,Warwick,Tryndamere,Blitzcrank,LeeSin,Xayah,Jax,Azir
1,Velkoz,Mordekaiser,Sivir,Nocturne,Thresh,Twitch,Morgana,Azir,Ornn,Galio
1,Rammus,Lux,Gnar,Janna,Jinx,Karma,Anivia,Draven,Singed,Kayn
0,Ezreal,Rakan,Urgot,Yasuo,Malzahar,Kayn,Ashe,Nami,Garen,Taliyah
0,Mordekaiser,RekSai,Fizz,Janna,Caitlyn,Jax,Chogath,Thresh,Kalista,Lux
0,Ekko,Gangplank,Ornn,Vi,Xayah,Lulu,Orianna,Nasus,Lux,Lucian
1,Jhin,Chogath,Leona,Orianna,Evelynn,Sivir,Brand,Yasuo,Teemo,Twitch
1,MissFortune,Jax,Bard,Nocturne,Veigar,Malzahar,Morgana,Ashe,Olaf,Urgot
0,Caitlyn,Ahri,Pantheon,Renekton,Thresh,Kalista,Swain,Katarina,MasterYi,Lulu
1,Malzahar,Singed,Jinx,Thresh,MasterYi,Nami,Yasuo,Talon,Vayne,RekSai
0,Soraka,Caitlyn,Lux,LeeSin,Gangplank,Blitzcrank,Orianna,Mordekaiser,Kayn,Varus
1,KogMaw,Sona,MasterYi,Kayle,Xerath,Leblanc,Alistar,Shyvana,Pantheon,Jinx
0,Tryndamere,Syndra,Teemo,Janna,Kayn,Lulu,Caitlyn,Kayle,MasterYi,Corki
1,Draven,Rengar,Garen,Vayne,Soraka,Maokai,Lulu,Caitlyn,Kayn,Ahri
1,Shen,Jhin,Maokai,Ziggs,Morgana,Ornn,Teemo,Bard,Rengar,Ezreal
0,Varus,Morgana,Kayn,Taliyah,Zac,Olaf,Vayne,Talon,Galio,Akali
0,Lucian,Thresh,Kled,Zed,Ivern,Lulu,Rammus,Maokai,Vayne,MissFortune
0,Corki,Tristana,Renekton,Gragas,TahmKench,Nunu,Poppy,Garen,Varus,Orianna
0,Blitzcrank,Rumble,Rengar,MissFortune,Ahri,Tristana,Leona,Veigar,Zed,Mordekaiser
1,Kayn,Jayce,Tristana,Janna,Kassadin,Draven,Blitzcrank,Renekton,TwistedFate,Warwick
0,Jinx,Ornn,Orianna,Jax,Sona,XinZhao,Brand,Hecarim,Tristana,Soraka
1,Jayce,Nautilus,Elise,Vayne,Jax,Taliyah,Ashe,Malphite,LeeSin,Leona
0,Maokai,Malzahar,Riven,Braum,Twitch,Evelynn,Tryndamere,Caitlyn,Corki,Velkoz
0,Lux,Alistar,Jinx,Twitch,Shaco,Veigar,Vayne,Janna,Ezreal,DrMundo
0,Morgana,Corki,Riven,Vayne,Galio,Tristana,XinZhao,Rumble,Veigar,Thresh
1,Pantheon,TwistedFate,Jinx,JarvanIV,Rakan,Kayn,Rumble,Corki,Tristana,Soraka
0,Zilean,Riven,Singed,Anivia,Varus,LeeSin,Fizz,Rakan,Jinx,Yasuo
0,Soraka,Caitlyn,Zed,Fiora,Nunu,MasterYi,Pantheon,Sona,KogMaw,Ziggs
0,Vi,Velkoz,Xayah,Rakan,Riven,Tristana,Lulu,Warwick,Orianna,Darius
1,Renekton,Draven,Janna,Ziggs,XinZhao,Tristana,Annie,Lulu,Yasuo,Kayn
0,Vayne,LeeSin,Jayce,Sona,TwistedFate,Gnar,Tristana,Zac,Veigar,Zilean
0,Jax,Gragas,TwistedFate,Tristana,Lulu,Velkoz,Cassiopeia,Braum,Xayah,Warwick
1,Teemo,Gnar,Azir,Udyr,Fizz,Nocturne,Vladimir,Blitzcrank,Ashe,Riven
0,Blitzcrank,Caitlyn,Rengar,Malzahar,MasterYi,Rammus,Riven,Orianna,Annie,Ashe
1,Caitlyn,Ornn,Blitzcrank,Riven,Orianna,Akali,Ahri,Kayn,MissFortune,Alistar
0,Fizz,Ashe,Yasuo,Leona,Vi,Blitzcrank,Xayah,Xerath,Kayn,Jax
0,Thresh,Twitch,Hecarim,Yasuo,TwistedFate,Elise,Garen,Orianna,Nami,Jinx
1,Veigar,Rakan,Anivia,Kayn,MissFortune,Zilean,Jinx,Fizz,Urgot,Rengar
1,Garen,Azir,Tristana,Thresh,Maokai,Sejuani,Yasuo,Teemo,Jinx,Leona
1,Xerath,Jayce,MissFortune,Rakan,LeeSin,Gnar,Zed,Caitlyn,Soraka,MasterYi
0,Katarina,Khazix,Renekton,Rakan,Xayah,RekSai,Maokai,Lucian,Yasuo,Thresh
0,Kennen,Vayne,Warwick,Orianna,Lulu,Lux,Jinx,Thresh,MasterYi,Riven
0,Darius,Rammus,Thresh,Lucian,Zed,KogMaw,Morgana,Kindred,Ekko,Tryndamere
1,Kennen,Ashe,Gragas,Warwick,Janna,Amumu,MasterYi,Morgana,Lulu,MissFortune
1,TwistedFate,Jhin,Khazix,Nautilus,Gragas,Nidalee,Lucian,Riven,Karma,Morgana
1,Ashe,Xerath,Sona,MasterYi,Warwick,Lucian,Kassadin,Kled,Zyra,Ryze
0,Malphite,Kayn,Velkoz,Twitch,Blitzcrank,Bard,Garen,Sejuani,Tristana,Swain
1,Tristana,Ahri,Lulu,Nidalee,Irelia,Cassiopeia,Jax,Fiddlesticks,Nocturne,Ashe
1,Thresh,Vayne,Malphite,Jax,Gnar,Braum,Ezreal,Zed,Gragas,Teemo
0,Kassadin,Camille,Kayn,Lucian,Morgana,Lulu,Irelia,Orianna,Ivern,Vayne
1,Ashe,Trundle,Braum,Gangplank,Anivia,Poppy,Rakan,Corki,Lucian,Vi
0,Ezreal,Urgot,Katarina,Caitlyn,Rammus,Sona,Jinx,Tryndamere,Pantheon,Ahri
0,Thresh,Xerath,JarvanIV,Jayce,Kalista,Talon,Shen,Vayne,Alistar,Jax
1,Zyra,Chogath,Ekko,Lucian,Jhin,MasterYi,Kayle,Vladimir,Vayne,Blitzcrank
1,Soraka,Garen,Morgana,Talon,Khazix,Tristana,Kayn,Bard,Gragas,Zed
1,Lux,Volibear,Warwick,Soraka,Twitch,Yasuo,Kalista,TahmKench,Tryndamere,DrMundo
1,Lucian,Alistar,JarvanIV,Kled,Orianna,Malzahar,TahmKench,Xayah,Skarner,Ornn
1,Urgot,MasterYi,Jinx,Karma,Fizz,Syndra,Xayah,Diana,LeeSin,Trundle
0,Jinx,Zed,Olaf,Chogath,Thresh,Xayah,Twitch,Malzahar,Kayn,Orianna
0,Gragas,Irelia,Jinx,Nami,Vladimir,Orianna,Nasus,Vayne,Thresh,Elise
0,Morgana,Lucian,Kayn,Corki,Tryndamere,MissFortune,Leona,Xerath,Gnar,MasterYi
1,Zed,RekSai,Sivir,Renekton,Leona,Gangplank,Jinx,Thresh,Kassadin,MasterYi
0,Taliyah,Riven,Maokai,Lulu,Vayne,Thresh,Jinx,Sejuani,Garen,Malzahar
1,Janna,Annie,Vayne,JarvanIV,Riven,Gragas,Sivir,Kayle,Vi,Karma
1,Viktor,Tristana,Evelynn,Chogath,Rakan,Urgot,DrMundo,KogMaw,Soraka,Lux
1,Kalista,Kayn,Jayce,Ahri,Rakan,Akali,Leona,Gragas,Warwick,Vayne
1,Lulu,Zed,Xayah,Ornn,Teemo,TwistedFate,Morgana,Caitlyn,Vladimir,Kayn
1,Fiddlesticks,Khazix,Janna,Poppy,MissFortune,Yasuo,Karma,Taliyah,Amumu,Kalista
0,Taric,Poppy,Ezreal,RekSai,Ekko,Alistar,Azir,JarvanIV,Gangplank,Kalista
1,Swain,KogMaw,Tristana,Maokai,Braum,Riven,Katarina,Jhin,Jayce,Lux
1,Taric,Tristana,Katarina,Syndra,Pantheon,Draven,Khazix,Orianna,JarvanIV,Rakan
1,Yasuo,Sejuani,Twitch,Chogath,Sona,Syndra,Shaco,Braum,Garen,Ashe
1,Janna,MonkeyKing,Ekko,Varus,Galio,Thresh,Ezreal,Udyr,Orianna,Darius
1,Talon,MissFortune,Warwick,Jayce,Alistar,Cassiopeia,Rengar,Leona,Tristana,Galio
0,Ezreal,Ziggs,Nasus,Bard,Sejuani,Jax,TwistedFate,Jinx,Braum,Pantheon
1,Jinx,Thresh,Rammus,Kled,Ahri,Karthus,Taric,Talon,Lucian,Kayn
1,Ekko,JarvanIV,Varus,Elise,Rakan,Twitch,Teemo,Lucian,Braum,TwistedFate
1,Lux,XinZhao,Blitzcrank,Maokai,Vayne,Ezreal,Karma,Ahri,Pantheon,Morgana
1,Thresh,Trundle,Twitch,Rammus,Swain,Yasuo,Lucian,Nautilus,Lissandra,LeeSin
1,MissFortune,Blitzcrank,Riven,MonkeyKing,JarvanIV,Yasuo,Malphite,Nautilus,Soraka,Caitlyn
1,Elise,Brand,Lux,Tryndamere,Lucian,Vayne,Syndra,Khazix,Braum,Riven
1,Garen,Zyra,Jayce,Gangplank,Jinx,Tryndamere,Nasus,Soraka,Vladimir,Twitch
0,Talon,Shyvana,Illaoi,Twitch,Alistar,Vayne,Leona,MonkeyKing,Vladimir,Poppy
0,Maokai,Blitzcrank,Riven,Lucian,Xayah,Viktor,Sejuani,Alistar,Twitch,Karma
1,Riven,Warwick,Sivir,Ahri,Soraka,Yasuo,Lucian,Thresh,Renekton,Gragas
0,Twitch,Jax,Gnar,Janna,Syndra,LeeSin,Zyra,Ahri,Xayah,Yorick
1,Alistar,Vi,KogMaw,MonkeyKing,Ahri,Taric,Elise,Zed,Jhin,Fiora
0,Nami,Nautilus,Ezreal,TwistedFate,Rumble,Braum,Tryndamere,Volibear,Katarina,Caitlyn
0,Kassadin,Blitzcrank,Ekko,Nasus,Sivir,KogMaw,LeeSin,Garen,Zed,Janna
1,Twitch,Fizz,Soraka,JarvanIV,Yasuo,XinZhao,Jax,Vayne,Ezreal,Thresh
0,Hecarim,Pantheon,Varus,Morgana,Lux,LeeSin,Ezreal,Darius,Jhin,Zed
1,Annie,Lucian,Ekko,Skarner,Rakan,Kassadin,Nidalee,TahmKench,Ashe,Talon
1,Evelynn,Ekko,Sion,Thresh,Tristana,Cassiopeia,Sona,Caitlyn,Mordekaiser,Nidalee
0,Ezreal,Garen,Orianna,Gragas,Taric,Katarina,Diana,Nami,Twitch,Xerath
1,Illaoi,Thresh,Ahri,Chogath,Jhin,LeeSin,Gnar,Annie,JarvanIV,Lucian
0,MissFortune,Bard,Lucian,LeeSin,Rumble,Jhin,Shaco,Soraka,TwistedFate,Tryndamere
1,Caitlyn,Shen,Fiddlesticks,Yasuo,Elise,MasterYi,Thresh,Galio,Fizz,Tristana
1,Renekton,Taric,TwistedFate,Xayah,Rakan,JarvanIV,LeeSin,Akali,Leona,Lucian
0,Soraka,Vayne,Fizz,Quinn,LeeSin,Thresh,Skarner,Chogath,Anivia,Kalista
0,Tristana,Renekton,Ahri,LeeSin,Sona,Soraka,Jax,Orianna,XinZhao,Kalista
1,Thresh,Maokai,Akali,Kayn,Jhin,Graves,Chogath,Ahri,Sivir,Soraka
1,Xayah,Rakan,MasterYi,Darius,Lux,Khazix,MissFortune,Zed,Nami,Janna
1,Trundle,Rakan,Xayah,Kayn,Cassiopeia,Zed,Nasus,Lucian,Warwick,Velkoz
0,Gangplank,Thresh,LeeSin,Tristana,Orianna,Riven,Jhin,Warwick,Taric,Malzahar
0,Twitch,Darius,Jax,Velkoz,Thresh,Kayn,Swain,TwistedFate,Alistar,Tristana
1,Karma,KogMaw,Ezreal,Shen,Fiddlesticks,Twitch,Bard,Lux,Darius,Draven
0,Braum,Teemo,Khazix,Veigar,MissFortune,Irelia,Thresh,Lux,Kindred,Jhin
0,RekSai,Lulu,KogMaw,Zed,Shen,Fizz,Lucian,Rakan,Gragas,Malphite
0,Lulu,Vayne,Nautilus,Kindred,Ahri,Tryndamere,Nami,Malzahar,Jhin,Irelia
0,Pantheon,Ashe,Malphite,Yasuo,Morgana,Orianna,Teemo,Warwick,Varus,Braum
0,Tryndamere,Annie,Janna,Garen,Vayne,Ornn,Galio,MissFortune,Shyvana,Veigar
0,Teemo,Brand,Vayne,Nocturne,Kassadin,Gangplank,Syndra,Blitzcrank,Tristana,Ezreal
0,Hecarim,JarvanIV,Ashe,Thresh,Veigar,Gragas,Ezreal,Talon,Zyra,Chogath
0,Xayah,Veigar,Rakan,Rengar,Kindred,Lucian,Corki,Soraka,Gragas,Ornn
1,LeeSin,Syndra,Bard,Tristana,Sion,Ryze,Vayne,Soraka,Kayn,Cassiopeia
1,Yasuo,Gangplank,Lux,Caitlyn,Annie,DrMundo,Kassadin,Jhin,Urgot,Ornn
0,Ornn,Vayne,LeeSin,Galio,Brand,Khazix,Bard,Jhin,Jax,Zed
0,Nunu,Karma,KogMaw,Taric,Soraka,Thresh,Kayn,Fiora,Jhin,Gragas
1,Jinx,Renekton,Xerath,Khazix,Morgana,Jax,Lux,Kayn,Blitzcrank,Vayne
1,Diana,Akali,Thresh,Jax,Tristana,Gangplank,Ahri,Sivir,Janna,Zac
1,Maokai,Bard,Ezreal,Khazix,Jinx,Malzahar,Warwick,Thresh,Aatrox,Lucian
1,Vi,Urgot,Yorick,Elise,Nami,Camille,Taric,Xayah,Ashe,Ahri
1,Velkoz,Vayne,Janna,Jayce,Ornn,MissFortune,Blitzcrank,Zac,Morgana,Kled
0,Ziggs,Jhin,Kled,Hecarim,Blitzcrank,Jinx,JarvanIV,Katarina,LeeSin,Braum
1,Udyr,Ahri,Riven,Xayah,Zyra,LeeSin,Vladimir,Leona,Caitlyn,Malzahar
0,Sivir,Gangplank,MasterYi,Morgana,Gragas,KogMaw,Malphite,Zed,Ashe,Thresh
1,Alistar,Jhin,Syndra,Heimerdinger,JarvanIV,Rakan,Khazix,Mordekaiser,Xerath,Xayah
0,Mordekaiser,LeeSin,TwistedFate,Alistar,Lucian,Braum,Kalista,Diana,Twitch,Jax
0,Lucian,Pantheon,Taric,Taliyah,LeeSin,Bard,Jayce,Sejuani,Zed,Twitch
0,Nidalee,Fizz,Lux,Jinx,Shen,Nunu,Garen,Malphite,Draven,Alistar
0,Thresh,Draven,Katarina,Riven,Shen,Swain,Zed,KogMaw,Janna,Kayn
0,Kalista,Warwick,Tryndamere,Bard,Katarina,Amumu,Malzahar,Janna,Jax,Vayne
0,XinZhao,Pantheon,Brand,Jinx,Morgana,Jax,Shyvana,Warwick,Diana,Zed
0,Leona,MonkeyKing,Rammus,Varus,Annie,Ziggs,Vi,Ornn,Vayne,Sona
0,Janna,Kennen,Vladimir,Sivir,Vi,MissFortune,Gragas,Zyra,Zed,Singed
0,Brand,Gragas,Xayah,Tristana,Yasuo,Talon,Nami,Ezreal,Velkoz,Pantheon
1,Ryze,MasterYi,Caitlyn,Thresh,Kled,Nautilus,Irelia,Ashe,Gragas,Lux
1,Viktor,Sivir,Kayn,Kled,Thresh,Caitlyn,Nami,Riven,JarvanIV,Galio
1,Kassadin,JarvanIV,Twitch,Lulu,Kennen,Renekton,Nami,Orianna,Tristana,Sejuani
1,TwistedFate,Soraka,Twitch,JarvanIV,Shaco,Lucian,Udyr,Pantheon,Thresh,Orianna
0,Jhin,Leona,Viktor,Shaco,Pantheon,Sona,Irelia,Brand,Kayn,Vayne
1,Darius,Vayne,Elise,Orianna,Blitzcrank,Maokai,Morgana,MissFortune,Syndra,Kennen
1,Vayne,Khazix,Darius,Fizz,Nami,LeeSin,Ekko,Xayah,Rakan,Yasuo
1,Corki,Galio,Shyvana,Jhin,Alistar,Skarner,Kennen,Cassiopeia,Bard,Tristana
0,Braum,Lux,Sejuani,Kalista,Gangplank,Soraka,Lucian,Maokai,Katarina,Kled
1,Diana,Leona,Camille,Gragas,Jinx,Karma,Zed,KogMaw,Khazix,Chogath
1,Sivir,JarvanIV,Tryndamere,Thresh,Orianna,Camille,Kassadin,Vayne,Nautilus,TahmKench
1,Khazix,Karma,Jhin,Ahri,Garen,Malphite,Zed,Shyvana,Janna,Tristana
1,Nidalee,Jayce,Talon,MissFortune,Thresh,Vayne,Darius,Soraka,Ekko,LeeSin
1,Sion,Olaf,MonkeyKing,Lucian,Vladimir,Aatrox,Malzahar,Fiora,Bard,Ashe
0,Yorick,Rakan,Lucian,Zac,Azir,Ekko,Alistar,Tristana,Darius,Kayn
0,Shen,Riven,Hecarim,Thresh,Jhin,Tristana,Lux,Katarina,DrMundo,TahmKench
1,Ekko,Tristana,LeeSin,MasterYi,Morgana,Rengar,Thresh,Zed,Draven,Kennen
1,Orianna,Warwick,Lulu,Ashe,Jayce,Lux,Renekton,Lucian,Khazix,Nautilus
0,Syndra,MissFortune,Braum,LeeSin,Garen,Caitlyn,Volibear,Nautilus,Jayce,Anivia
0,Azir,Nocturne,Riven,Thresh,Draven,Ashe,Renekton,Morgana,Chogath,Diana
0,Sona,KogMaw,Vi,Talon,Fiora,Ahri,Lucian,Nami,Renekton,Hecarim
1,Ezreal,Draven,Ziggs,Gnar,Janna,Kayn,Twitch,Thresh,Urgot,Heimerdinger
1,Twitch,Zed,Annie,MonkeyKing,Kayn,Orianna,Nocturne,Xayah,Chogath,Braum
1,Sivir,Zilean,Teemo,Lux,Shen,Kassadin,Gangplank,Janna,Tristana,Shyvana
0,Malzahar,Fiora,Vayne,Syndra,Gragas,Anivia,Ezreal,Teemo,MissFortune,Warwick
0,Thresh,Poppy,LeeSin,Ezreal,Veigar,Graves,Velkoz,Teemo,Caitlyn,Fiora
